City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.7911,-50.0119,61.0,59.0,79.0,6.67,BR,1660645561.0
jamestown,42.097,-79.2353,61.02,74.0,100.0,4.0,US,1660645561.0
barrow,71.2906,-156.7887,32.86,98.0,100.0,14.14,US,1660645338.0
busselton,-33.65,115.3333,55.09,75.0,45.0,17.83,AU,1660645562.0
carnarvon,-24.8667,113.6333,62.67,94.0,75.0,5.75,AU,1660645562.0
conceicao do castelo,-20.3683,-41.2439,56.97,89.0,4.0,5.32,BR,1660645562.0
punta arenas,-53.15,-70.9167,33.91,86.0,40.0,8.05,CL,1660645562.0
hadejia,12.4498,10.0444,74.19,83.0,100.0,10.71,NG,1660645562.0
zemio,5.0314,25.1361,74.71,92.0,87.0,4.81,CF,1660645562.0
cape town,-33.9258,18.4232,63.09,57.0,20.0,20.71,ZA,1660645514.0
qaanaaq,77.484,-69.3632,38.73,63.0,71.0,6.24,GL,1660645562.0
nassau,40.7507,-73.5829,68.7,64.0,0.0,6.91,US,1660645563.0
nipawin,53.3668,-104.0009,57.24,94.0,0.0,5.75,CA,1660645563.0
port alfred,-33.5906,26.891,70.99,27.0,100.0,10.11,ZA,1660645563.0
taolanaro,,,,,,,,
aksaray,38.3726,34.0254,86.86,24.0,0.0,8.55,TR,1660645563.0
lebork,54.5392,17.7501,87.44,47.0,68.0,10.8,PL,1660645563.0
rodrigues alves,-7.738,-72.6509,70.48,92.0,0.0,2.66,BR,1660645563.0
carutapera,-1.195,-46.02,74.95,89.0,7.0,3.87,BR,1660645563.0
ushuaia,-54.8,-68.3,33.46,80.0,40.0,3.44,AR,1660645562.0
inderborskiy,,,,,,,,
belyy yar,53.6039,91.3903,67.89,34.0,0.0,8.95,RU,1660645564.0
vaitupu,,,,,,,,
chuzhou,32.3219,118.2978,86.45,78.0,95.0,8.28,CN,1660645564.0
saint-philippe,-21.3585,55.7679,76.59,68.0,17.0,9.35,RE,1660645564.0
pangnirtung,66.1451,-65.7125,42.39,86.0,96.0,2.08,CA,1660645565.0
kodiak,57.79,-152.4072,54.91,88.0,100.0,8.05,US,1660645565.0
bathsheba,13.2167,-59.5167,83.01,83.0,40.0,18.41,BB,1660645565.0
margate,51.3813,1.3862,71.87,64.0,100.0,5.46,GB,1660645565.0
mahajanga,-15.7167,46.3167,89.62,40.0,20.0,6.91,MG,1660645565.0
asfi,32.2994,-9.2372,73.6,64.0,0.0,10.36,MA,1660645565.0
rikitea,-23.1203,-134.9692,72.72,78.0,42.0,18.21,PF,1660645565.0
camana,-16.6228,-72.7111,58.14,87.0,90.0,9.44,PE,1660645565.0
kavieng,-2.5744,150.7967,80.8,78.0,100.0,5.84,PG,1660645565.0
pevek,69.7008,170.3133,38.62,72.0,9.0,7.81,RU,1660645565.0
alice springs,-23.7,133.8833,58.55,23.0,1.0,8.05,AU,1660645566.0
mataura,-46.1927,168.8643,44.76,98.0,66.0,3.4,NZ,1660645566.0
atuona,-9.8,-139.0333,76.95,72.0,9.0,21.21,PF,1660645566.0
general elizardo aquino,-24.4333,-56.7,65.52,98.0,100.0,6.26,PY,1660645566.0
leningradskiy,69.3833,178.4167,31.35,87.0,10.0,7.52,RU,1660645566.0
katsuura,35.1333,140.3,81.21,87.0,100.0,27.94,JP,1660645566.0
coihaique,-45.5752,-72.0662,37.35,60.0,100.0,3.44,CL,1660645433.0
kruisfontein,-34.0033,24.7314,72.88,21.0,100.0,12.06,ZA,1660645566.0
ust-omchug,61.15,149.6333,47.41,95.0,100.0,6.22,RU,1660645567.0
hobart,-42.8794,147.3294,50.25,91.0,40.0,9.22,AU,1660645524.0
nouadhibou,20.931,-17.0347,78.78,61.0,80.0,21.85,MR,1660645567.0
ribeira grande,38.5167,-28.7,75.6,64.0,40.0,11.5,PT,1660645567.0
vaini,-21.2,-175.2,71.76,83.0,40.0,13.8,TO,1660645567.0
veraval,20.9,70.3667,80.69,88.0,100.0,20.38,IN,1660645567.0
mar del plata,-38.0023,-57.5575,48.09,71.0,0.0,16.11,AR,1660645567.0
ilulissat,69.2167,-51.1,44.62,87.0,75.0,3.44,GL,1660645567.0
albany,42.6001,-73.9662,59.63,89.0,91.0,1.59,US,1660645567.0
kaitangata,-46.2817,169.8464,46.15,92.0,30.0,3.11,NZ,1660645567.0
kudahuvadhoo,2.6708,72.8944,82.29,71.0,39.0,9.01,MV,1660645568.0
puerto ayora,-0.7393,-90.3518,68.56,94.0,100.0,5.01,EC,1660645568.0
tuktoyaktuk,69.4541,-133.0374,45.61,94.0,100.0,4.83,CA,1660645568.0
arraial do cabo,-22.9661,-42.0278,67.86,77.0,0.0,11.5,BR,1660645568.0
butaritari,3.0707,172.7902,81.61,76.0,90.0,12.77,KI,1660645568.0
berlevag,70.8578,29.0864,71.6,68.0,0.0,19.57,NO,1660645568.0
berdigestyakh,62.0989,126.6992,61.45,79.0,52.0,2.73,RU,1660645568.0
milkovo,54.7167,158.6167,58.91,69.0,99.0,13.02,RU,1660645568.0
bandarbeyla,9.4942,50.8122,88.3,51.0,54.0,28.16,SO,1660645568.0
hermanus,-34.4187,19.2345,61.81,56.0,94.0,12.03,ZA,1660645441.0
menomonie,44.8755,-91.9193,62.82,100.0,100.0,0.0,US,1660645568.0
grand forks,47.9417,-97.4337,69.73,83.0,0.0,9.22,US,1660645569.0
nanortalik,60.1432,-45.2371,44.4,98.0,100.0,9.95,GL,1660645569.0
alto vera,,,,,,,,
ouadda,8.0777,22.4007,74.68,86.0,100.0,7.05,CF,1660645569.0
sao filipe,14.8961,-24.4956,78.4,84.0,83.0,10.22,CV,1660645569.0
esperance,-33.8667,121.9,57.04,91.0,100.0,16.64,AU,1660645293.0
nikolskoye,59.7035,30.7861,84.87,39.0,16.0,6.85,RU,1660645569.0
bluff,-46.6,168.3333,48.99,89.0,91.0,5.46,NZ,1660645569.0
umzimvubu,,,,,,,,
cidreira,-30.1811,-50.2056,55.96,87.0,100.0,6.78,BR,1660645570.0
klaksvik,62.2266,-6.589,50.92,67.0,98.0,17.16,FO,1660645570.0
saint george,37.1041,-113.5841,77.59,67.0,0.0,0.0,US,1660645570.0
nishihara,26.1842,127.7558,86.05,79.0,40.0,12.66,JP,1660645570.0
manaia,-39.55,174.1333,59.58,86.0,100.0,13.47,NZ,1660645570.0
brownwood,31.7093,-98.9912,74.97,77.0,86.0,4.83,US,1660645570.0
flinders,-34.5833,150.8552,53.19,75.0,64.0,1.99,AU,1660645570.0
aleksandrovskoye,44.7142,43.0008,95.09,27.0,23.0,6.6,RU,1660645570.0
hearst,49.6835,-83.6665,43.05,84.0,4.0,3.31,CA,1660645570.0
georgetown,5.4112,100.3354,87.89,69.0,20.0,6.91,MY,1660645355.0
hilo,19.7297,-155.09,78.28,91.0,100.0,7.0,US,1660645508.0
